frame_idx,nombre_archivo,brisque_orig,brisque_sin_hud,niqe_orig,niqe_sin_hud,sigma_orig,sigma_sin_hud,var_lap_orig,var_lap_sin_hud
14221,frame_014221.png,29.65,34.42,4.542,4.777,2.9652,2.9652,854.47,274.61
14281,frame_014281.png,43.14,41.52,6.138,5.488,2.9652,2.9652,738.55,378.88
14341,frame_014341.png,35.55,39.1,5.408,4.934,2.9652,2.9652,983.51,329.85
14401,frame_014401.png,42.43,39.34,5.787,5.193,2.9652,2.9652,555.08,229.42
14461,frame_014461.png,40.59,41.07,5.695,5.236,2.9652,2.9652,826.15,274.5
14521,frame_014521.png,55.78,63.58,8.056,7.8,1.4826,1.4826,472.31,73.89
14581,frame_014581.png,21.0,27.27,5.658,5.485,4.4477,4.4477,577.11,95.13
14641,frame_014641.png,29.59,31.65,4.726,4.464,2.9652,2.9652,929.35,280.32
14701,frame_014701.png,45.29,48.45,7.136,5.897,2.9652,2.9652,701.87,260.53
14761,frame_014761.png,54.8,59.62,8.309,7.706,1.4826,1.4826,314.92,35.79
14821,frame_014821.png,36.11,38.74,5.792,5.171,2.9652,2.9652,1015.83,391.3
14881,frame_014881.png,27.95,30.8,5.023,4.399,4.4477,2.9652,1124.69,364.08
14941,frame_014941.png,91.43,109.07,21.945,29.311,0.0,0.0,459.71,9.78
15001,frame_015001.png,63.24,59.35,7.392,6.311,1.4826,1.4826,532.72,253.63
15061,frame_015061.png,45.17,44.8,6.824,6.424,2.9652,2.9652,847.29,420.66
15121,frame_015121.png,34.41,34.84,5.613,5.306,2.9652,2.9652,961.42,328.79
15181,frame_015181.png,65.91,62.34,7.959,6.9,1.4826,1.4826,581.2,341.57
15241,frame_015241.png,27.19,29.45,5.04,4.331,2.9652,2.9652,1020.48,329.76
15301,frame_015301.png,24.61,28.01,4.716,4.46,2.9652,2.9652,965.02,293.8
15361,frame_015361.png,34.01,38.37,5.319,4.647,2.9652,2.9652,778.24,201.05
15421,frame_015421.png,59.75,62.97,7.159,6.528,1.4826,1.4826,646.74,303.94
15481,frame_015481.png,26.41,29.07,4.801,4.617,4.4477,2.9652,1187.3,365.74
15541,frame_015541.png,38.95,42.29,5.503,5.263,2.9652,2.9652,1265.4,440.98
15601,frame_015601.png,42.99,40.99,6.541,6.146,2.9652,2.9652,1072.23,389.27
15661,frame_015661.png,43.54,46.07,6.084,5.671,2.9652,2.9652,984.46,418.39
15721,frame_015721.png,42.25,43.91,5.779,5.589,2.9652,2.9652,1179.62,446.64
15781,frame_015781.png,40.59,44.65,5.931,5.212,2.9652,2.9652,908.34,360.31
15841,frame_015841.png,41.87,36.4,5.181,4.357,2.9652,2.9652,885.41,447.44
15901,frame_015901.png,29.64,31.77,4.742,4.787,2.9652,2.9652,1262.46,412.65
15961,frame_015961.png,58.21,56.61,7.437,6.618,1.4826,1.4826,943.7,523.37
16021,frame_016021.png,32.76,34.67,4.379,4.691,2.9652,2.9652,1292.91,443.69
16081,frame_016081.png,39.45,44.91,5.281,5.135,1.4826,1.4826,1171.18,427.65
16141,frame_016141.png,45.82,46.49,6.409,5.654,1.4826,1.4826,940.74,412.06
16201,frame_016201.png,44.8,46.48,5.227,4.896,1.4826,1.4826,1095.89,373.83
16261,frame_016261.png,92.28,109.73,21.615,28.006,0.0,0.0,393.39,3.13
16321,frame_016321.png,40.78,41.06,5.634,5.077,2.9652,2.9652,1037.33,449.95
16381,frame_016381.png,41.51,48.28,5.649,5.327,2.9652,2.9652,1736.48,607.11
16441,frame_016441.png,25.33,28.06,5.033,4.812,4.4477,2.9652,1126.8,337.76
16501,frame_016501.png,28.98,32.11,5.568,5.008,2.9652,2.9652,1158.33,385.32
16561,frame_016561.png,43.87,48.07,6.987,6.076,1.4826,1.4826,1127.14,393.12
16621,frame_016621.png,51.28,51.81,6.291,5.352,1.4826,1.4826,879.51,423.04
16681,frame_016681.png,49.44,51.27,7.235,5.772,1.4826,1.4826,930.4,422.6
16741,frame_016741.png,39.17,41.88,6.069,5.765,2.9652,2.9652,1302.02,474.89
16801,frame_016801.png,30.35,31.49,4.535,4.612,4.4477,2.9652,1301.32,457.38
16861,frame_016861.png,37.12,40.01,5.381,5.325,2.9652,2.9652,1244.59,428.07
16921,frame_016921.png,24.67,26.91,4.53,4.667,4.4477,4.4477,1391.8,486.72
16981,frame_016981.png,44.01,47.33,5.858,5.39,1.4826,1.4826,1311.66,500.59
17041,frame_017041.png,52.43,53.89,6.444,5.235,1.4826,1.4826,1246.28,583.69
17101,frame_017101.png,34.66,40.33,4.871,4.759,2.9652,2.9652,1334.9,520.6
17161,frame_017161.png,28.62,30.44,4.735,4.775,2.9652,2.9652,1383.41,508.41
17221,frame_017221.png,51.33,55.0,6.811,5.785,1.4826,1.4826,1094.5,540.06
17281,frame_017281.png,59.04,60.36,8.172,7.106,1.4826,1.4826,763.87,380.85
17341,frame_017341.png,86.63,106.96,25.221,29.47,0.0,0.0,481.78,10.66
17401,frame_017401.png,31.53,40.88,6.122,5.413,2.9652,2.9652,1081.82,336.54
17461,frame_017461.png,32.86,41.71,5.644,5.563,2.9652,2.9652,1062.85,333.52
17521,frame_017521.png,32.47,41.82,5.292,5.216,2.9652,2.9652,1034.96,340.09
17581,frame_017581.png,50.97,62.97,9.801,7.749,1.4826,1.4826,606.9,92.91
17641,frame_017641.png,46.94,63.34,10.575,7.556,1.4826,1.4826,634.36,90.89
17701,frame_017701.png,26.7,38.74,7.368,6.699,2.9652,1.4826,614.25,98.17
17761,frame_017761.png,48.47,48.65,6.41,6.058,2.9652,2.9652,1098.52,560.54
17821,frame_017821.png,53.22,70.74,10.93,8.52,1.4826,1.4826,611.98,87.18
17881,frame_017881.png,53.98,62.52,9.381,7.417,1.4826,1.4826,545.17,86.55
