frame_idx,nombre_archivo,brisque_orig,brisque_sin_hud,niqe_orig,niqe_sin_hud,sigma_orig,sigma_sin_hud,var_lap_orig,var_lap_sin_hud,brisque_denoised,niqe_denoised,sigma_denoised,var_lap_denoised
5881,frame_05881.png,26.31,20.54,4.441,3.48,8.8955,5.9303,1269.47,193.06,17.39,3.993,5.9303,186.9
5911,frame_05911.png,26.0,19.7,4.668,3.533,7.4129,5.9303,1270.36,165.29,16.29,4.312,5.9303,160.78
5941,frame_05941.png,37.42,25.83,4.619,3.482,5.9303,5.9303,1592.61,470.45,23.47,4.375,5.9303,467.28
5971,frame_05971.png,38.55,28.54,4.444,3.282,7.4129,5.9303,1569.12,482.08,24.64,3.968,5.9303,475.1
6001,frame_06001.png,37.21,25.81,3.919,3.22,10.3781,7.4129,1565.37,573.16,25.06,3.708,7.4129,549.44
6031,frame_06031.png,36.43,29.15,4.249,3.56,7.4129,5.9303,1441.98,500.47,21.94,5.05,5.9303,479.3
6061,frame_06061.png,33.83,24.99,3.572,3.246,10.3781,7.4129,1511.96,538.6,23.07,3.989,7.4129,520.68
6091,frame_06091.png,34.63,24.06,3.598,3.219,10.3781,7.4129,1605.71,543.49,23.91,3.931,7.4129,525.1
6121,frame_06121.png,30.06,18.31,4.054,3.819,5.9303,5.9303,1729.41,490.22,19.96,4.635,5.9303,481.73
6151,frame_06151.png,29.86,15.09,4.629,4.728,7.4129,5.9303,1672.42,492.24,23.49,7.008,5.9303,482.06
6181,frame_06181.png,28.63,14.87,4.478,4.798,8.8955,7.4129,1590.11,491.94,24.54,6.924,7.4129,473.11
6211,frame_06211.png,28.61,16.3,4.579,5.028,8.8955,7.4129,1632.41,505.02,26.14,7.135,7.4129,480.4
6241,frame_06241.png,26.31,14.45,4.34,4.772,7.4129,5.9303,1697.07,490.73,22.9,6.778,5.9303,471.05
6271,frame_06271.png,28.95,16.8,5.16,5.255,7.4129,7.4129,1588.04,490.58,24.88,7.039,7.4129,469.86
6301,frame_06301.png,28.36,16.75,3.812,4.592,7.4129,7.4129,1477.05,505.19,21.26,6.849,7.4129,470.68
6331,frame_06331.png,27.32,18.72,5.825,6.206,4.4477,4.4477,1398.46,141.92,34.2,8.44,4.4477,135.04
6361,frame_06361.png,15.62,5.99,6.169,6.169,8.8955,7.4129,1370.04,167.55,12.05,8.971,7.4129,149.63
6391,frame_06391.png,16.18,6.55,7.045,6.374,5.9303,5.9303,1318.48,135.15,9.91,8.958,5.9303,130.66
